Time (s)	Acceleration (m/s²)	Velocity (m/s)
0.00	-0.25	0.00
0.05	-0.25	-0.01
0.10	-0.25	-0.02
0.15	-0.25	-0.04
0.20	-0.25	-0.05
0.25	-0.25	-0.06
0.30	-0.25	-0.07
0.35	-0.25	-0.09
0.40	-0.25	-0.10
0.45	-0.25	-0.11
0.50	-0.25	-0.13
0.55	-0.25	-0.14
0.60	-0.25	-0.15
0.65	-0.26	-0.16
0.70	-0.26	-0.18
0.75	-0.26	-0.19
0.80	-0.26	-0.20
0.85	-0.26	-0.22
0.90	-0.26	-0.23
0.95	-0.26	-0.24
1.00	-0.27	-0.25
1.05	-0.27	-0.27
1.10	-0.27	-0.28
1.15	-0.27	-0.30
1.20	-0.27	-0.31
1.25	-0.28	-0.32
1.30	-0.28	-0.34
1.35	-0.28	-0.35
1.40	-0.28	-0.36
1.45	-0.29	-0.38
1.50	-0.29	-0.39
1.55	-0.29	-0.41
1.60	-0.30	-0.42
1.65	-0.30	-0.44
1.70	-0.30	-0.45
1.75	-0.31	-0.47
1.80	-0.31	-0.48
1.85	-0.32	-0.50
1.90	-0.32	-0.52
1.95	-0.32	-0.53
2.00	-0.33	-0.55
2.05	-0.33	-0.57
2.10	-0.34	-0.58
2.15	-0.34	-0.60
2.20	-0.35	-0.62
2.25	-0.36	-0.63
2.30	-0.36	-0.65
2.35	-0.37	-0.67
2.40	-0.38	-0.69
2.45	-0.38	-0.71
2.50	-0.39	-0.73
2.55	-0.40	-0.75
2.60	-0.41	-0.77
2.65	-0.42	-0.79
2.70	-0.43	-0.81
2.75	-0.43	-0.83
2.80	-0.44	-0.86
2.85	-0.46	-0.88
2.90	-0.47	-0.90
2.95	-0.48	-0.93
3.00	-0.49	-0.95
3.05	-0.50	-0.97
3.10	-0.52	-1.00
3.15	-0.53	-1.03
3.20	-0.55	-1.05
3.25	-0.56	-1.08
3.30	-0.58	-1.11
3.35	-0.60	-1.14
3.40	-0.62	-1.17
3.45	-0.64	-1.20
3.50	-0.66	-1.24
3.55	-0.68	-1.27
3.60	-0.70	-1.31
3.65	-0.73	-1.34
3.70	-0.76	-1.38
3.75	-0.79	-1.42
3.80	-0.82	-1.46
3.85	-0.85	-1.50
3.90	-0.89	-1.55
3.95	-0.92	-1.59
4.00	-0.96	-1.64
4.05	-1.01	-1.69
4.10	-1.06	-1.75
4.15	-1.11	-1.80
4.20	-1.16	-1.86
4.25	-1.22	-1.92
4.30	-1.29	-1.98
4.35	-1.36	-2.05
4.40	-1.43	-2.12
4.45	-1.52	-2.20
4.50	-1.61	-2.28
4.55	-1.71	-2.37
4.60	-1.82	-2.46
4.65	-1.95	-2.55
4.70	-2.09	-2.66
4.75	-2.24	-2.77
4.80	-2.41	-2.89
4.85	-2.60	-3.02
4.90	-2.82	-3.16
4.95	-3.06	-3.32
5.00	-3.34	-3.48
