t (s)	a (m/s^2)	v (m/s)
0.00	2.54	0.00
0.10	2.52	0.25
0.20	2.47	0.51
0.30	2.38	0.75
0.40	2.26	0.99
0.50	2.12	1.22
0.60	1.96	1.43
0.70	1.80	1.63
0.80	1.62	1.81
0.90	1.45	1.97
1.00	1.28	2.11
1.10	1.13	2.24
1.20	0.98	2.35
1.30	0.85	2.45
1.40	0.73	2.54
1.50	0.62	2.61
1.60	0.53	2.67
1.70	0.45	2.72
1.80	0.38	2.77
1.90	0.32	2.81
2.00	0.27	2.84
2.10	0.23	2.87
2.20	0.19	2.89
2.30	0.16	2.91
2.40	0.13	2.92
2.50	0.11	2.94
2.60	0.09	2.95
2.70	0.08	2.96
2.80	0.06	2.97
2.90	0.05	2.97
3.00	0.04	2.98
3.10	0.04	2.98
3.20	0.03	2.99
3.30	0.03	2.99
3.40	0.02	2.99
3.50	0.02	2.99
3.60	0.01	2.99
3.70	0.01	3.00
3.80	0.01	3.00
3.90	0.01	3.00
4.00	0.01	3.00
4.10	0.01	3.00
4.20	0.00	3.00
4.30	0.00	3.00
4.40	0.00	3.00
4.50	0.00	3.00
4.60	0.00	3.00
4.70	0.00	3.00
