0.00	10.00
0.10	6.02	31.38
0.20	4.58	31.84
0.30	3.34	32.17
0.40	2.22	32.39
0.50	2.22	32.39
0.60	0.18	32.53
0.70	-0.81	32.45
0.80	-1.78	32.27
0.90	-2.72	32.00
1.00	-3.61	31.64
1.10	-4.42	31.19
1.20	-5.16	30.68
1.30	-5.80	30.10
1.40	-6.36	29.46
1.50	-6.83	28.78
1.60	-7.22	28.06
1.70	-7.55	27.30
1.80	-7.81	26.52
1.90	-8.02	25.72
2.00	-8.19	24.90
2.10	-8.33	24.07
2.20	-8.43	23.22
2.30	-8.43	23.22
2.40	-8.52	22.37
2.50	-8.58	21.51
2.60	-8.64	20.65
2.70	-8.68	19.78
2.80	-8.71	18.91
2.90	-8.73	18.04
3.00	-8.75	17.16
3.10	-8.77	16.29
3.20	-8.78	15.41
3.30	-8.79	14.53
3.40	-8.80	13.65
3.50	-8.80	12.77
3.60	-8.81	11.89
3.70	-8.81	11.01
3.80	-8.81	10.12
3.90	-8.82	9.24
4.00	-8.82	8.36
4.10	-8.82	7.48
4.20	-8.82	6.60
4.30	-8.82	5.72
4.40	-8.82	4.83
4.50	-8.82	3.95
4.60	-8.82	3.07
4.70	-8.82	2.19
4.80	-8.82	1.31
4.90	-8.82	0.42
5.00	-8.82	-0.46
